Country,Region,Population,Income,LifeExpectancy
Mozambique ,AFRICA                 ,19686505,1200,50.908
Namibia ,AFRICA                 ,2044147,7200,65.062
Nepal ,ASIA,28287147,1400,69.215
Netherlands , EUROPE                     ,16491461,28600,81.307
Netherlands Antilles ,LATIN AMERICA,221736,11400,77.136
New Caledonia ,OCEANIA                            ,219246,15000,76.741
New Zealand ,OCEANIA                            ,4076140,21600,81.43
Nicaragua ,LATIN AMERICA,5570129,2300,75.468
Niger ,AFRICA                 ,12525094,800,59.351
Nigeria ,AFRICA                 ,131859731,900,53.28
N. Mariana Islands ,OCEANIA                            ,82459,12500,65.508
Norway , EUROPE                     ,4610820,37800,81.763
Oman ,ASIA,3102229,13100,77.055
Pakistan ,ASIA,165803560,2100,66.869
Panama ,LATIN AMERICA,3191319,6300,77.98
Papua New Guinea ,OCEANIA                            ,5670544,2200,62.696
Paraguay ,LATIN AMERICA,6506464,4700,72.425
Peru ,LATIN AMERICA,28302603,5100,75.413
Philippines ,ASIA,89468677,4600,69.024
Poland , EUROPE                     ,38536869,11100,76.749
Portugal , EUROPE                     ,10605870,18000,80.359
Puerto Rico ,LATIN AMERICA,3927188,16800,79.214
Qatar ,ASIA,885359,21500,78.653
Reunion ,AFRICA                 ,787584,5800,80.122
Romania , EUROPE                     ,22303552,7000,74.072
Russia ,EUROPE,142893540,8900,68.209
Rwanda ,AFRICA                 ,8648248,1300,64.99
Saint Lucia ,LATIN AMERICA,168458,5400,75.062
St Pierre & Miquelon ,AMERICA                   ,7026,6900,74.642
Saint Vincent and the Grenadines ,LATIN AMERICA,117848,2900,72.693
Samoa ,OCEANIA                            ,176908,5600,73.726
Saudi Arabia ,ASIA,27019731,11800,75.907
Senegal ,AFRICA                 ,11987121,1600,63.766
Serbia , EUROPE                     ,9396411,2200,74.315
Seychelles ,AFRICA                 ,81541,7800,73.524
Sierra Leone ,AFRICA                 ,6005250,500,46.051
Singapore ,ASIA,4492150,23700,82.659
Slovakia , EUROPE                     ,5439448,13300,75.656
Slovenia , EUROPE                     ,2010347,19000,79.895
Solomon Islands ,OCEANIA                            ,552438,1700,68.098
Somalia ,AFRICA                 ,8863338,500,55.713
South Africa ,AFRICA                 ,44187637,10700,57.631
Spain , EUROPE                     ,40397842,22000,82.388
Sri Lanka ,ASIA,20222240,3700,74.642
Sudan ,AFRICA                 ,41236378,1900,62.422
Suriname ,LATIN AMERICA,439117,4000,71.446
Swaziland ,AFRICA                 ,1136334,4900,48.942
Sweden , EUROPE                     ,9016596,26800,82.079
Switzerland , EUROPE                     ,7523934,32700,82.876
Syria ,ASIA,18881361,3300,74.817
Tajikistan ,ASIA,7320815,1000,67.517
Tanzania ,AFRICA                 ,37445392,600,62.46
Thailand ,ASIA,64631595,7400,74.765
Togo ,AFRICA                 ,5548702,1500,57.182
Tonga ,OCEANIA                            ,114689,2200,72.991
Trinidad & Tobago ,LATIN AMERICA,1065842,9500,72.991
Tunisia ,AFRICA                    ,10175014,6900,76.338
Turkey ,ASIA,70413958,6700,75.881
Turkmenistan ,C.W. OF IND. STATES ,5042920,5800,65.753
Turks & Caicos Is ,LATIN AMERICA,21152,9600,65.753
Uganda ,AFRICA                 ,28195754,1400,60.054
Ukraine ,EUROPE,46710816,5400,68.742
United Arab Emirates ,ASIA,2602713,23200,77.18
United Kingdom , EUROPE                     ,60609153,27700,80.853
United States ,AMERICA                   ,298444215,37800,79.235
Uruguay ,LATIN AMERICA,3431932,12800,77.528
Uzbekistan ,ASIA,27307134,1700,68.484
Vanuatu ,OCEANIA                            ,208869,2900,72.169
Venezuela ,LATIN AMERICA,25730435,4800,74.948
Vietnam ,ASIA,84402966,2500,74.948
Virgin Islands ,LATIN AMERICA,108605,17200,74.948
Wallis and Futuna ,OCEANIA                            ,16025,3700,74.948
West Bank ,ASIA,2460492,800,74.948
Yemen ,ASIA,21456188,800,80.599
Zambia ,AFRICA                 ,11502010,800,59.853
